1689728199.0465443,72,-0.06,413
1689728199.228053,72,-0.03,411
1689728199.40892,73,-0.14,415
1689728199.5900433,72,-0.02,413
1689728199.7713475,55,-0.09,314
1689728199.9520519,52,-0.12,296
1689728200.1335402,51,-0.03,294
1689728200.314817,18,-0.10,105
1689728200.4950976,0,-0.17,0
1689728200.676592,0,-0.03,0
1689728200.8575425,0,-0.13,0
1689728201.03804,0,-0.21,0
1689728201.219996,0,-0.15,0
1689728201.4005961,0,-0.15,0
1689728201.581546,0,-0.11,0
1689728201.7625926,0,-0.04,0
1689728201.9441395,0,-0.20,0
1689728202.1251674,0,-0.08,0
1689728202.306143,0,-0.15,0
1689728202.4875755,0,-0.03,0
1689728202.6688945,0,-0.11,0
1689728202.8495593,0,-0.20,0
1689728203.031065,0,-0.08,0
1689728203.2120004,0,-0.00,0
1689728203.3928947,0,-0.03,0
1689728203.5740309,0,-0.05,0
1689728203.7551773,0,0.01,0
1689728203.936049,0,0.09,0
1689728204.1175487,0,0.10,0
1689728204.2986252,0,0.07,0
1689728204.479605,0,0.09,0
1689728204.6606092,0,0.16,0
1689728204.841838,0,-0.05,0
1689728205.0225506,0,0.02,0
1689728205.2036388,0,0.02,0
1689728205.3851223,0,-0.02,0
1689728205.5662482,0,-0.01,0
1689728205.747324,0,0.01,0
1689728205.9285717,0,-0.02,0
1689728206.109051,0,-0.02,0
1689728206.2905664,0,-0.00,0
1689728206.4713588,0,0.04,0
1689728206.6530612,0,-0.04,0
1689728206.834042,1,-0.14,9
1689728207.015046,10,0.00,59
1689728207.196586,18,-0.04,107
1689728207.3772726,24,-13.46,142
1689728207.5588877,25,-48.01,145
1689728207.7402003,27,-70.03,155
1689728207.9210773,33,-82.13,191
1689728208.102291,37,-101.79,211
1689728208.2831357,37,-125.02,213
1689728208.464047,38,-135.12,217
1689728208.6451862,39,-138.61,224
1689728208.8261817,43,-143.97,245
1689728209.007861,46,-156.86,266
1689728209.1885886,47,-171.65,270
1689728209.3700876,49,-186.33,284
1689728209.551136,49,-195.28,281
1689728209.7317016,49,-200.14,284
1689728209.9131565,49,-200.80,281
1689728210.0939398,49,-200.66,281
1689728210.2753787,49,-200.09,279
1689728210.4565835,49,-199.82,279
1689728210.6375906,49,-199.91,283
1689728210.8190646,60,-200.50,341
1689728211.0000725,66,-232.75,378
1689728211.1807404,68,-274.87,389
1689728211.362062,67,-302.04,386
1689728211.542491,68,-307.60,388
1689728211.7240922,67,-309.26,386
1689728211.9055867,68,-309.56,390
1689728212.086636,68,-310.55,390
1689728212.2678552,68,-312.38,388
1689728212.448628,71,-313.55,406
1689728212.6305907,76,-322.63,436
1689728212.8106477,78,-339.93,448
1689728212.9915879,81,-356.42,461
1689728213.173285,82,-369.95,471
1689728213.3542817,83,-376.04,477
1689728213.5349388,82,-378.80,469
1689728213.7166944,83,-378.92,472
1689728213.8979568,82,-379.27,470
1689728214.0788288,83,-377.83,472
1689728214.2599163,83,-378.39,473
1689728214.4410913,83,-378.28,473
1689728214.6215663,83,-378.00,472
1689728214.8032382,83,-378.50,472
1689728214.9845986,83,-380.83,473
1689728215.1656203,83,-381.15,472
1689728215.346109,83,-380.16,472
1689728215.5275712,83,-379.25,472
1689728215.7091296,83,-377.86,473
1689728215.889942,83,-377.34,473
1689728216.0716643,83,-378.41,472
1689728216.2515426,83,-379.19,473
1689728216.4333296,82,-378.48,471
1689728216.6143901,82,-376.80,471
1689728216.7955961,82,-374.30,471
1689728216.9760761,82,-374.87,471
1689728217.1576815,83,-375.47,472
1689728217.3388736,83,-377.76,472
1689728217.5200782,83,-378.35,472
1689728217.7009027,140,-391.74,472
1689728217.8817978,140,-556.68,473
1689728218.0633674,140,-608.99,471
1689728218.244721,140,-614.56,470
1689728218.425648,140,-614.61,473
1689728218.6071215,140,-613.68,473
1689728218.7880988,140,-610.83,473
1689728218.969086,140,-610.77,473
1689728219.1505816,140,-610.95,473
1689728219.331691,140,-609.48,472
1689728219.5125797,140,-608.64,472
1689728219.6940138,140,-607.28,474
1689728219.8748984,140,-606.35,469
1689728220.055664,140,-602.51,474
1689728220.2371583,140,-233.63,474
1689728220.4182067,140,-11.48,473
1689728220.5990844,140,-0.11,472
1689728220.7801282,140,0.36,473
1689728220.96144,140,0.33,473
1689728221.1421509,140,0.25,472
1689728221.3236816,140,0.27,472
1689728221.5046108,140,0.29,472
1689728221.685139,140,0.32,472
1689728221.8671057,140,0.27,472
1689728222.0476627,140,0.27,472
1689728222.228885,140,0.40,472
1689728222.4101827,140,0.64,472
1689728222.5910966,140,0.31,473
1689728222.7721188,140,0.35,472
1689728222.9538586,140,0.38,472
1689728223.1348677,140,0.25,472
1689728223.3159502,140,0.33,473
1689728223.4969487,140,0.35,472
1689728223.6777644,140,0.26,473
